Alter;Geschlecht;Einkommen;Internet_Affinit‰t;Dating_App;Partnersuche;Wohngegend
41;m;127033;9;no;yes;Kleinstadt
41;w;144261;9;no;no;Dorf
43;w;133663;10;no;yes;Kleinstadt
40;w;133629;9;no;yes;Kleinstadt
40;w;142774;9;no;yes;Kleinstadt
37;w;128559;9;no;yes;Dorf
40;w;194088;9;no;yes;Kleinstadt
42;w;166001;9;no;yes;Kleinstadt
39;m;132819;9;no;yes;Dorf
42;w;125416;9;no;yes;Dorf
39;m;149641;9;yes;yes;Kleinstadt
39;w;120899;9;no;no;Dorf
40;w;198736;8;no;yes;Kleinstadt
39;w;167273;8;no;yes;Kleinstadt
41;m;146998;9;no;yes;Dorf
41;w;135259;9;no;yes;Dorf
39;w;134511;9;no;yes;Kleinstadt
38;w;200128;9;no;yes;Dorf
41;w;141218;9;no;yes;Dorf
42;w;113215;9;no;yes;Dorf
41;w;155231;9;no;yes;Dorf
40;w;175496;8;no;yes;Dorf
39;w;147722;9;no;yes;Dorf
40;w;172816;9;no;yes;Dorf
40;w;167468;8;no;yes;Dorf
41;w;188020;8;no;yes;Dorf
39;w;146959;8;no;yes;Dorf
39;w;165939;10;no;yes;Dorf
39;w;152283;9;yes;yes;Dorf
41;w;104856;9;no;no;Kleinstadt
40;w;172803;9;no;yes;Dorf
38;w;177624;9;yes;yes;Dorf
39;w;126759;9;no;yes;Dorf
41;w;142384;9;no;yes;Kleinstadt
40;w;151125;9;no;yes;Dorf
39;w;129076;9;no;yes;Dorf
40;w;193568;10;no;yes;Land
39;w;155470;9;no;yes;Dorf
40;w;141726;9;no;yes;Dorf
40;m;157790;9;no;yes;Dorf
39;w;129123;9;no;yes;Dorf
40;w;158358;9;no;no;Dorf
40;w;193667;9;no;yes;Dorf
39;w;150325;10;no;yes;Dorf
40;w;168186;9;no;yes;Dorf
40;w;176323;9;no;yes;Kleinstadt
40;w;148770;9;no;yes;Dorf
42;w;117479;9;yes;yes;Dorf
39;w;137880;9;no;yes;Vorstadt
38;w;162034;9;no;yes;Dorf
39;w;136567;9;no;yes;Kleinstadt
39;w;145606;8;no;yes;Dorf
39;w;200369;8;no;yes;Dorf
40;w;179684;9;no;yes;Land
39;w;143833;8;no;yes;Dorf
40;w;145903;10;no;yes;Dorf
39;w;172173;8;no;yes;Dorf
41;w;141479;10;no;yes;Dorf
40;w;159745;9;no;yes;Vorstadt
41;w;165321;9;no;no;Land
41;w;159403;9;no;yes;Kleinstadt
39;w;126145;9;no;no;Dorf
40;w;135105;9;yes;yes;Dorf
39;w;198580;8;no;no;Dorf
41;w;158052;8;no;yes;Dorf
40;w;109458;9;no;yes;Land
39;w;161104;9;yes;no;Vorstadt
42;w;142085;9;no;yes;Dorf
41;w;159043;8;no;yes;Kleinstadt
39;m;149106;9;no;yes;Dorf
40;w;157547;9;no;yes;Vorstadt
40;w;163076;10;yes;yes;Vorstadt
40;m;155982;9;no;yes;Dorf
37;w;171607;8;no;no;Dorf
40;m;180226;9;no;yes;Dorf
39;w;179817;8;no;yes;Dorf
40;w;125882;10;no;yes;Vorstadt
41;m;151992;9;yes;yes;Dorf
40;w;134586;9;no;yes;Dorf
39;m;170457;9;no;yes;Dorf
39;w;163910;9;no;yes;Dorf
39;w;180527;10;yes;yes;Dorf
41;w;105025;9;no;no;Dorf
41;w;153526;9;no;yes;Dorf
39;w;134373;9;yes;yes;Dorf
40;w;134642;9;no;no;Dorf
40;w;155170;9;no;yes;Dorf
41;w;157025;9;no;yes;Dorf
40;w;150459;9;no;yes;Dorf
38;w;117386;10;no;yes;Dorf
40;w;117079;9;no;yes;Dorf
42;w;155353;8;no;yes;Dorf
38;w;139278;8;no;yes;Dorf
40;w;140023;9;no;yes;Dorf
39;w;136173;9;no;yes;Dorf
40;w;175002;10;no;yes;Land
40;w;178172;8;no;yes;Dorf
43;w;110907;9;no;yes;Land
41;w;167134;9;no;yes;Dorf
41;w;144740;9;no;yes;Dorf
39;w;174193;9;no;yes;Dorf
41;m;135390;9;no;yes;Dorf
39;w;192773;9;no;yes;Dorf
40;w;155500;9;no;yes;Kleinstadt
38;w;139041;9;no;yes;Groﬂstadt
40;m;137507;9;no;yes;Dorf
37;w;146722;10;no;yes;Dorf
40;w;146875;9;no;yes;Dorf
42;w;163374;9;no;yes;Kleinstadt
41;w;130079;9;no;yes;Kleinstadt
37;w;156548;10;no;no;Dorf
39;w;178586;8;no;yes;Dorf
41;w;134881;9;no;yes;Dorf
40;w;177719;9;no;yes;Dorf
39;w;134415;9;no;yes;Dorf
38;w;176749;8;no;yes;Dorf
40;w;125590;10;no;yes;Dorf
40;w;120071;10;no;yes;Dorf
40;m;115067;10;no;yes;Dorf
39;w;139920;9;no;yes;Groﬂstadt
41;w;135013;9;no;yes;Dorf
38;w;148584;9;no;yes;Dorf
37;w;145077;8;no;yes;Dorf
40;w;169886;8;yes;yes;Dorf
42;w;173041;9;no;yes;Dorf
37;w;135379;10;no;yes;Dorf
40;w;170837;10;no;yes;Dorf
40;w;168389;10;no;yes;Dorf
42;w;188399;9;no;yes;Dorf
40;w;195685;9;no;no;Dorf
40;w;168690;9;no;yes;Dorf
40;w;146253;8;no;yes;Vorstadt
41;w;170406;9;no;yes;Dorf
41;w;158144;9;yes;yes;Dorf
41;w;175064;9;no;yes;Dorf
39;w;175774;9;no;yes;Dorf
41;w;145988;9;no;yes;Dorf
39;w;159043;9;no;yes;Dorf
40;w;153535;10;no;yes;Dorf
40;w;151514;9;yes;yes;Dorf
40;w;161241;9;no;yes;Dorf
40;w;168418;9;no;yes;Dorf
40;w;148450;8;no;no;Dorf
39;w;163926;9;no;yes;Dorf
40;w;111909;8;yes;yes;Dorf
39;w;199083;8;no;yes;Dorf
39;w;152767;9;no;yes;Land
41;w;131843;10;no;yes;Dorf
39;m;116785;8;no;yes;Dorf
39;w;141450;8;no;yes;Dorf
39;w;165756;9;no;no;Dorf
40;w;117821;9;no;yes;Dorf
40;w;142445;9;no;yes;Dorf
40;w;141017;9;no;yes;Dorf
42;w;138044;9;no;yes;Dorf
39;w;160352;9;no;yes;Dorf
41;w;119683;9;yes;yes;Dorf
41;w;154508;9;no;yes;Dorf
42;m;123888;9;no;no;Dorf
39;w;153094;10;no;yes;Dorf
40;w;176738;9;yes;yes;Vorstadt
40;w;116884;9;no;yes;Dorf
39;w;170101;9;no;yes;Dorf
39;w;152135;8;no;yes;Dorf
40;w;144247;10;no;yes;Dorf
38;w;163444;9;no;yes;Kleinstadt
39;w;153040;8;no;yes;Land
38;w;157662;9;no;yes;Dorf
41;w;153065;8;yes;no;Dorf
40;w;153165;9;no;yes;Kleinstadt
39;w;171255;9;no;yes;Kleinstadt
39;w;156049;9;no;yes;Dorf
39;w;122078;9;no;yes;Kleinstadt
39;w;146887;9;no;yes;Land
39;w;144754;10;no;yes;Dorf
40;w;161268;9;no;yes;Dorf
40;w;142193;9;no;yes;Dorf
39;m;138901;10;yes;yes;Land
40;w;143000;9;no;yes;Dorf
40;w;123303;9;no;yes;Dorf
40;w;135203;9;yes;yes;Dorf
39;w;148318;9;no;yes;Dorf
38;w;159051;10;no;yes;Dorf
39;w;158327;9;no;yes;Dorf
40;w;167215;8;no;yes;Dorf
40;w;141254;9;no;yes;Dorf
40;w;175428;9;yes;yes;Vorstadt
40;m;174322;9;no;yes;Dorf
39;w;148320;8;no;yes;Dorf
41;w;176163;9;no;no;Dorf
40;w;120910;8;no;yes;Dorf
41;w;164609;10;no;yes;Dorf
40;w;139843;9;no;no;Land
42;w;147280;9;no;no;Dorf
40;w;151424;9;no;yes;Dorf
39;w;168106;9;no;no;Dorf
42;w;148909;10;no;yes;Dorf
42;w;176921;10;no;yes;Dorf
40;m;109720;9;no;yes;Kleinstadt
40;w;149755;9;no;yes;Dorf
40;m;133585;9;no;yes;Dorf
41;w;137572;9;no;yes;Dorf
38;w;149569;8;no;no;Dorf
38;w;171332;9;no;yes;Kleinstadt
40;w;150051;8;no;yes;Kleinstadt
41;w;173393;11;no;yes;Dorf
41;w;136201;9;no;yes;Kleinstadt
40;w;175191;9;no;no;Dorf
41;w;115643;9;no;yes;Vorstadt
41;w;98156;10;no;yes;Dorf
40;m;120319;9;no;yes;Dorf
40;w;113621;9;no;yes;Dorf
39;w;160023;9;yes;yes;Land
40;w;123492;9;no;yes;Land
40;w;171161;9;no;yes;Dorf
40;m;176609;9;no;yes;Dorf
41;w;163464;9;no;yes;Dorf
41;w;150420;9;no;no;Kleinstadt
40;w;162347;8;no;yes;Dorf
40;w;167762;9;yes;yes;Dorf
41;w;139262;10;no;yes;Dorf
40;w;169629;10;no;yes;Kleinstadt
39;w;164492;9;no;yes;Dorf
40;w;122529;9;no;yes;Vorstadt
41;w;158725;10;no;yes;Dorf
39;w;118287;9;no;yes;Dorf
41;w;164021;9;no;yes;Dorf
40;w;147981;10;no;yes;Dorf
41;w;135562;8;no;yes;Dorf
40;w;165972;9;no;yes;Kleinstadt
38;w;148063;9;no;yes;Dorf
40;w;144409;9;no;yes;Dorf
38;w;137006;9;yes;yes;Dorf
41;w;153689;9;yes;yes;Land
38;w;142349;10;no;yes;Kleinstadt
40;w;136400;9;no;no;Kleinstadt
40;w;134957;9;yes;yes;Dorf
39;m;171830;9;no;yes;Land
40;w;172639;9;no;yes;Land
40;w;108141;9;no;yes;Groﬂstadt
41;w;143693;9;no;yes;Vorstadt
40;w;150096;9;no;yes;Dorf
39;w;161437;9;yes;yes;Dorf
42;m;114894;9;no;yes;Dorf
40;w;135310;9;no;yes;Dorf
40;w;150549;9;no;yes;Dorf
41;w;163383;10;no;yes;Dorf
41;w;142708;9;no;yes;Dorf
38;m;155645;9;no;yes;Dorf
40;w;137553;9;no;no;Dorf
39;w;138648;9;no;yes;Dorf
40;w;149112;10;no;yes;Vorstadt
39;w;149858;9;no;yes;Dorf
38;w;119935;9;no;no;Dorf
40;w;133056;10;yes;yes;Groﬂstadt
41;w;120602;9;no;yes;Dorf
41;w;143564;9;no;yes;Dorf
40;w;161899;10;no;yes;Dorf
39;w;125037;9;no;no;Dorf
40;w;170277;9;yes;yes;Dorf
40;w;132338;8;no;yes;Dorf
41;w;180134;9;no;yes;Dorf
40;w;164404;10;no;yes;Land
40;w;122040;9;yes;yes;Dorf
40;w;171320;10;yes;yes;Dorf
40;w;152945;8;no;yes;Dorf
39;w;134090;10;no;yes;Dorf
40;w;189511;9;yes;no;Dorf
41;w;125961;8;yes;yes;Dorf
40;w;151150;8;no;yes;Land
39;w;114854;9;no;yes;Dorf
39;w;156110;9;no;yes;Dorf
39;w;142010;9;no;yes;Dorf
40;w;196523;9;no;yes;Land
39;w;124277;9;no;yes;Kleinstadt
39;w;154232;10;no;yes;Dorf
40;w;134174;10;no;yes;Land
40;w;172351;10;no;yes;Kleinstadt
40;w;182938;10;no;yes;Dorf
38;w;180754;9;no;yes;Dorf
40;w;177663;9;no;yes;Dorf
39;w;152393;9;no;yes;Dorf
41;w;155480;9;no;yes;Dorf
40;w;162530;8;no;yes;Dorf
40;w;137469;9;yes;yes;Dorf
41;m;134929;10;no;yes;Kleinstadt
39;w;146657;9;no;yes;Dorf
41;w;120987;9;no;yes;Dorf
40;m;165041;8;no;yes;Land
39;w;172239;9;no;yes;Dorf
41;w;163654;9;yes;yes;Dorf
40;w;149565;9;no;yes;Dorf
39;w;164689;9;no;yes;Dorf
40;w;166700;8;no;yes;Land
39;w;147514;8;no;no;Dorf
